iter	Passed	Remaining
828	5352	1103
829	5357	1097
830	5363	1090
831	5369	1084
832	5375	1077
833	5381	1071
834	5388	1064
835	5395	1058
836	5401	1051
837	5408	1045
838	5414	1039
839	5421	1032
840	5427	1026
841	5434	1019
842	5441	1013
843	5447	1006
844	5453	1000
845	5459	993
846	5465	987
847	5471	980
848	5477	974
849	5483	967
850	5490	961
851	5496	954
852	5502	948
853	5507	941
854	5514	935
855	5520	928
856	5527	922
857	5533	915
858	5539	909
859	5546	902
860	5551	896
861	5557	889
862	5564	883
863	5570	876
864	5576	870
865	5583	863
866	5590	857
867	5596	851
868	5603	844
869	5609	838
870	5615	831
871	5623	825
872	5629	818
873	5636	812
874	5643	806
875	5649	799
876	5655	793
877	5661	786
878	5667	780
879	5673	773
880	5678	767
881	5684	760
882	5690	753
883	5695	747
884	5701	740
885	5707	734
886	5712	727
887	5718	721
888	5724	714
889	5729	708
890	5735	701
891	5740	695
892	5746	688
893	5752	682
894	5758	675
895	5763	669
896	5769	662
897	5774	655
898	5780	649
899	5786	642
900	5792	636
901	5799	630
902	5805	623
903	5811	617
904	5818	610
905	5825	604
906	5831	597
907	5838	591
908	5845	585
909	5851	578
910	5857	572
911	5863	565
912	5869	559
913	5875	552
914	5880	546
915	5886	539
916	5892	533
917	5897	526
918	5903	520
919	5909	513
920	5914	507
921	5920	500
922	5926	494
923	5931	487
924	5937	481
925	5942	474
926	5948	468
927	5954	461
928	5959	455
929	5965	449
930	5971	442
931	5976	436
932	5982	429
933	5988	423
934	5994	416
935	5999	410
936	6005	403
937	6012	397
938	6018	391
939	6025	384
940	6031	378
941	6038	371
942	6044	365
943	6051	358
944	6057	352
945	6064	346
946	6069	339
947	6075	333
948	6082	326
949	6088	320
950	6094	314
951	6101	307
952	6107	301
953	6113	294
954	6119	288
955	6126	281
956	6132	275
957	6139	269
958	6145	262
959	6151	256
960	6158	249
961	6164	243
962	6171	237
963	6177	230
964	6183	224
965	6190	217
966	6196	211
967	6203	205
968	6210	198
969	6217	192
970	6223	185
971	6230	179
972	6236	173
973	6243	166
974	6249	160
975	6256	153
976	6262	147
977	6269	141
978	6275	134
979	6280	128
980	6286	121
981	6292	115
982	6298	108
983	6303	102
984	6309	96
985	6315	89
986	6320	83
987	6326	76
988	6331	70
989	6337	64
